place,package,rent_id,customer_ID,rental_start_date,distance,duration,price,sex,registration_date,first_rent_date,customer_age,rental_start_month,rental_start_year
Hamburg,pay_per_minute,4071ef0d-6,4729,2020-07-22 00:00:00,7,28,6.23,Woman,2020-05-25 01:15:00,2020-05-29 17:13:00,23,7,2020
Hamburg,pay_per_minute,331ba874-8,4729,2020-12-08 00:00:00,4,11,2.64,Woman,2020-05-25 01:15:00,2020-05-29 17:13:00,23,12,2020
Hamburg,pay_per_minute,4071ef0d-6,4729,2020-07-22 00:00:00,7,28,6.23,Woman,2020-05-25 01:15:00,2020-05-29 17:13:00,23,7,2020
Hamburg,pay_per_minute,fbcb4dfb-6,4729,2020-08-26 00:00:00,43,75,19.21,Woman,2020-05-25 01:15:00,2020-05-29 17:13:00,23,8,2020
Hamburg,pay_per_minute,38875c74-d,4729,2020-07-24 00:00:00,16,29,7.69,Woman,2020-05-25 01:15:00,2020-05-29 17:13:00,23,7,2020
Hamburg,pay_per_minute,10938541-c,4729,2020-06-25 00:00:00,13,39,6.94,Woman,2020-05-25 01:15:00,2020-05-29 17:13:00,23,6,2020
Hamburg,pay_per_minute,f4b430b4-e,4729,2020-05-08 00:00:00,2,11,2.36,Woman,2020-05-25 01:15:00,2020-05-29 17:13:00,23,5,2020
Hamburg,pay_per_minute,baa5f57a-b,4729,2020-07-22 00:00:00,7,18,4.55,Woman,2020-05-25 01:15:00,2020-05-29 17:13:00,23,7,2020
Berlin,pay_per_minute,83b41a94-1,4770,2020-08-27 00:00:00,3,10,1.99,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,8,2020
Berlin,pay_per_minute,d2dd9fbf-a,4770,2020-08-28 00:00:00,3,15,3.4,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,8,2020
Berlin,pay_per_minute,4e983d88-b,4770,2020-08-23 00:00:00,8,65,14.85,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,8,2020
Berlin,pay_per_minute,78104fb1-c,4770,2020-06-25 00:00:00,2,11,2.18,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,6,2020
Berlin,pay_per_minute,46f34a2e-6,4770,2020-08-25 00:00:00,5,21,3.8,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,8,2020
Berlin,pay_per_minute,43f1f60d-b,4770,2020-07-28 00:00:00,2,10,1.5,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,7,2020
Berlin,pay_per_minute,957461a0-f,4770,2020-06-24 00:00:00,9,30,6.58,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,6,2020
Berlin,pay_per_minute,72ae1081-e,4770,2020-09-07 00:00:00,0,5,0.9,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,9,2020
Berlin,pay_per_minute,3c7d17c9-1,4770,2020-07-27 00:00:00,3,16,3.61,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,7,2020
Berlin,pay_per_minute,d8552f3c-3,4770,2020-07-28 00:00:00,6,31,5.8,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,7,2020
Berlin,pay_per_minute,78104fb1-c,4770,2020-06-25 00:00:00,2,11,2.18,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,6,2020
Berlin,pay_per_minute,f6836f4e-0,4770,2020-08-26 00:00:00,3,26,4.89,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,8,2020
Berlin,pay_per_minute,42d4997f-1,4770,2020-08-28 00:00:00,8,38,5.7,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,8,2020
Berlin,pay_per_minute,7b9cbcf9-a,4770,2020-08-26 00:00:00,3,15,2.25,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,8,2020
Berlin,pay_per_minute,745b2ce7-d,4770,2020-07-08 00:00:00,3,12,2.18,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,7,2020
Berlin,pay_per_minute,b249316d-7,4770,2020-06-13 00:00:00,11,86,15.58,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,6,2020
Berlin,pay_per_minute,d8552f3c-3,4770,2020-07-28 00:00:00,6,31,5.8,Woman,2020-05-24 10:26:00,2020-05-24 12:15:00,30,7,2020
